claim_id,statement_date,speaker,role,agency,attribution,channel,claim_kind,scope,direction,commodity,metric,value_min,value_max,unit,time_basis,averaging_window_days,claim_text,status,supersedes_claim_id,disputes_claim_id,notes,source_publisher,source_date,source_title,source_url
USOF-20260610-02,2026-06-10,Donald Trump,U.S. President,White House,named,Truth Social,cumulative_volume,hormuz_only,outbound,oil,oil_volume,100,,million_barrels,cumulative_since_prior_month,,Said more than 100 million barrels of oil had moved through Hormuz into the open market under the secret U.S. mission.,active,,,Exact start date not stated beyond 'last month.',Trump's Truth archive,2026-06-10,"Donald J. Trump Truth Social post, June 10, 2026",https://trumpstruth.org/?cursor=eyJzdGF0dXNfY3JlYXRlZF9hdCI6IjIwMjYtMDYtMTAgMTA6NTU6MzUiLCJfcG9pbnRzVG9OZXh0SXRlbXMiOmZhbHNlfQ&end_date=&per_page=10&query=&removed=include&sort=desc&start_date=
USOF-20260610-03,2026-06-10,Donald Trump,U.S. President,White House,named,Truth Social,cumulative_ship_count,hormuz_only,both_or_unspecified,commercial ships,commercial_ships,200,,ships,cumulative_since_prior_month,,Said more than 200 commercial ships had safely traveled through Hormuz under the secret U.S. mission.,active,,,Does not specify inbound vs outbound.,Trump's Truth archive,2026-06-10,"Donald J. Trump Truth Social post, June 10, 2026",https://trumpstruth.org/?cursor=eyJzdGF0dXNfY3JlYXRlZF9hdCI6IjIwMjYtMDYtMTAgMTA6NTU6MzUiLCJfcG9pbnRzVG9OZXh0SXRlbXMiOmZhbHNlfQ&end_date=&per_page=10&query=&removed=include&sort=desc&start_date=
USOF-20260611-01,2026-06-11,Pete Hegseth,U.S. Defense Secretary,Department of Defense,named,remarks to reporters,operational_status,hormuz_only,both,commercial shipping,project_freedom_status,,,,as_of_statement,,Said Project Freedom never stopped and had gone underground.,active,,,Operational claim; no volume attached.,USNI News,2026-06-11,U.S. Disables 3 Tankers As Part of Iranian Blockade,https://news.usni.org/2026/06/11/u-s-disables-3-tankers-as-part-of-iranian-blockade-3-mariners-killed-in-tuesday-strike
USOF-20260612-01,2026-06-12,Chris Wright,U.S. Energy Secretary,Department of Energy,named,Bloomberg Energy event,flow_rate,persian_gulf_outbound,outbound,oil,oil_flow_rate,7,7,million_barrels_per_day,current_approximate,,Said roughly 7 million barrels per day of oil were getting out of the Persian Gulf with U.S. military help.,active,,,Preserve Reuters wording 'out of Persian Gulf' rather than forcing Hormuz-only scope.,Reuters,2026-06-12,"US military helping move 7 million barrels of oil per day out of Persian Gulf, Wright says",https://www.reuters.com/business/energy/us-military-helps-move-7-million-barrels-oil-per-day-out-persian-gulf-wright-2026-06-12/
USOF-20260612-02,2026-06-12,Chris Wright,U.S. Energy Secretary,Department of Energy,named,Bloomberg Energy event,flow_rate,iran_exports_via_hormuz,outbound,Iranian crude,oil_flow_rate,0,0,million_barrels_per_day,current_approximate,,Said no Iranian crude was getting out through Hormuz.,active,,,,Reuters,2026-06-12,"US military helping move 7 million barrels of oil per day out of Persian Gulf, Wright says",https://www.reuters.com/business/energy/us-military-helps-move-7-million-barrels-oil-per-day-out-persian-gulf-wright-2026-06-12/
USOF-20260624-01,2026-06-24,Chris Wright,U.S. Energy Secretary,Department of Energy,named,X post / public statement,flow_volume,hormuz_only,transit,oil,oil_volume,20,20,million_barrels,last_24_hours,1,Said 20 million barrels of oil had transited Hormuz in the previous 24 hours.,active,,,Characterized as restoring pre-conflict flows.,Reuters,2026-06-24,"Oil flows through Hormuz Strait close to normal, US energy secretary says",https://www.reuters.com/business/energy/us-energy-secretary-wright-says-20-mln-barrels-oil-exited-hormuz-last-24-hours-2026-06-24/
USOF-20260624-02,2026-06-24,Chris Wright,U.S. Energy Secretary,Department of Energy,named,X post / public statement,ship_count,hormuz_only,both_or_unspecified,all ships,ship_transits,72,72,ships,last_24_hours,1,Said 72 ships had transited Hormuz in the previous 24 hours.,active,,,,Forex Factory mirror of Wright post,2026-06-24,"US Energy Sec Wright: In last 24 hours, 72 ships and 20 million barrels have transited",https://www.forexfactory.com/news/1405625-us-energy-sec-wright-in-last-24-hours
USOF-20260811-01,2026-08-11,Chris Wright,U.S. Energy Secretary,Department of Energy,named,X post,flow_rate,hormuz_only,outbound,oil,oil_flow_rate,9,9,million_barrels_per_day,seven_day_average,7,Said the seven-day average for oil leaving Hormuz was up to almost 9 million barrels per day.,active,,,,Anadolu Agency,2026-08-11,US energy chief says oil flows from Gulf at 15M barrels per day,https://www.aa.com.tr/en/economy/us-energy-chief-says-oil-flows-from-gulf-at-15m-barrels-per-day/4024603
USOF-20260811-02,2026-08-11,Chris Wright,U.S. Energy Secretary,Department of Energy,named,X post,flow_rate,bypass_routes,outbound,oil,oil_flow_rate,5,7,million_barrels_per_day,current_approximate,,Said an additional 5–7 million barrels per day were leaving the region via upgraded pipelines and export facilities.,active,,,Bypass component; not Hormuz flow.,Anadolu Agency,2026-08-11,US energy chief says oil flows from Gulf at 15M barrels per day,https://www.aa.com.tr/en/economy/us-energy-chief-says-oil-flows-from-gulf-at-15m-barrels-per-day/4024603
USOF-20260811-03,2026-08-11,Chris Wright,U.S. Energy Secretary,Department of Energy,named,X post,flow_rate,region_including_bypass,outbound,oil,oil_flow_rate,15,15,million_barrels_per_day,current_average,,"Said total regional oil flows, combining Hormuz and bypass routes, were averaging about 15 million barrels per day.",active,,,Rounded combined total.,Anadolu Agency,2026-08-11,US energy chief says oil flows from Gulf at 15M barrels per day,https://www.aa.com.tr/en/economy/us-energy-chief-says-oil-flows-from-gulf-at-15m-barrels-per-day/4024603
USOF-20260811-04,2026-08-11,Chris Wright,U.S. Energy Secretary,Department of Energy,named,X post,flow_volume,region_including_bypass,outbound,oil,oil_volume,20,,million_barrels,single_day,1,"Said more than 20 million barrels left the Arabian Gulf region on the preceding Sunday, above the pre-war average.",active,,,Single-day regional total; not comparable to a seven-day Hormuz-only rate.,Anadolu Agency,2026-08-11,US energy chief says oil flows from Gulf at 15M barrels per day,https://www.aa.com.tr/en/economy/us-energy-chief-says-oil-flows-from-gulf-at-15m-barrels-per-day/4024603
USOF-20260812-01,2026-08-12,Donald Trump,U.S. President,White House,named,Truth Social,control_status,hormuz_only,both,all shipping,control,,,,as_of_statement,,Said the United States had total control over the Strait of Hormuz.,active,,,"Not a volume claim, but key context.",Reuters via Investing.com,2026-08-12,Trump says US has 'total control' over Strait of Hormuz,https://www.investing.com/news/commodities-news/trump-says-us-has-total-control-over-strait-of-hormuz-4855480
USOF-20260818-01,2026-08-18,Donald Trump,U.S. President,White House,named,Truth Social,operational_status,hormuz_only,both,all shipping,open_status,,,,as_of_statement,,Said Hormuz was open and operating and all water mines had been removed or detonated.,active,,,Qualitative operational claim.,Reuters via Investing.com,2026-08-18,Trump says no talks are taking place with Iran and none are scheduled,https://www.investing.com/news/commodities-news/trump-says-no-talks-are-taking-place-with-iran-and-none-are-scheduled-4865570
USOF-20260819-01,2026-08-19,Two U.S. officials,anonymous U.S. officials,U.S. government,anonymous,Axios sourcing,ship_count,hormuz_only,both,tankers,nightly_tanker_transits,15,20,tankers_per_night,recent_two_weeks,,Said 15–20 tankers had entered and exited the Strait each night through a southern channel along Oman.,active,,,Both directions; not equivalent to loaded outbound tanker count.,Axios,2026-08-19,U.S. conducting stealth operation to transport oil through Hormuz,https://www.axios.com/2026/08/19/hormuz-iran-oil-gulf-trump
USOF-20260819-02,2026-08-19,Two U.S. officials,anonymous U.S. officials,U.S. government,anonymous,Axios sourcing,flow_rate,hormuz_only,outbound,oil,oil_flow_rate,10,10,million_barrels_per_day,current_average,,Said about 10 million barrels of oil per day were being transported out through Hormuz into the global market.,active,,,,Axios,2026-08-19,U.S. conducting stealth operation to transport oil through Hormuz,https://www.axios.com/2026/08/19/hormuz-iran-oil-gulf-trump
USOF-20260819-03,2026-08-19,Two U.S. officials,anonymous U.S. officials,U.S. government,anonymous,Axios sourcing,flow_volume,hormuz_only,outbound,oil,oil_volume,15,20,million_barrels,some_single_nights,1,Said oil moving out on some nights over preceding weeks had reached 15–20 million barrels.,active,,,"Exceptional-night claim, not an average.",Axios,2026-08-19,U.S. conducting stealth operation to transport oil through Hormuz,https://www.axios.com/2026/08/19/hormuz-iran-oil-gulf-trump
USOF-20260819-04,2026-08-19,U.S. official,anonymous U.S. official,U.S. government,anonymous,Axios sourcing,ship_count_and_potential_volume,hormuz_only,both_and_outbound,ships,night_operation,20,,ships,single_night_planned,1,Said more than 20 ships were slated to move in and out on one night.,active,,,"Planned/potential, not confirmed completed flow.",Axios,2026-08-19,U.S. conducting stealth operation to transport oil through Hormuz,https://www.axios.com/2026/08/19/hormuz-iran-oil-gulf-trump
USOF-20260819-04B,2026-08-19,U.S. official,anonymous U.S. official,U.S. government,anonymous,Axios sourcing,ship_count_and_potential_volume,hormuz_only,outbound,oil,night_operation_volume,15,,million_barrels,single_night_planned,1,Said about 15 million barrels were potentially coming out on that planned night.,active,,,Planned/potential volume for the same night operation as USOF-20260819-04; not confirmed completed flow.,Axios,2026-08-19,U.S. conducting stealth operation to transport oil through Hormuz,https://www.axios.com/2026/08/19/hormuz-iran-oil-gulf-trump
USOF-20260819-05,2026-08-19,Donald Trump,U.S. President,White House,named,Axios interview,qualitative_flow,hormuz_only,outbound,oil,flow_characterization,,,,current,,Said there was a tremendous amount of oil coming out of Hormuz.,active,,,Qualitative only.,Axios,2026-08-19,U.S. conducting stealth operation to transport oil through Hormuz,https://www.axios.com/2026/08/19/hormuz-iran-oil-gulf-trump
USOF-20260821-01,2026-08-21,Chris Wright,U.S. Energy Secretary,Department of Energy,named,social media post,flow_volume,hormuz_only,outbound,oil and products,oil_products_volume,15,,million_barrels,single_day,1,Said the U.S. military assisted passage of over 15 million barrels of oil and products through Hormuz on Tuesday.,active,,,Referenced Tuesday was Aug. 18.,CBS News live updates,2026-08-21,"U.S. assisted in getting more than 15 million barrels of oil through Strait of Hormuz in one day, energy chief says",https://www.cbsnews.com/live-updates/iran-war-trump-economic-crackdown/
USOF-20260821-02,2026-08-21,Chris Wright,U.S. Energy Secretary,Department of Energy,named,social media post,flow_rate,hormuz_only,outbound,oil,oil_flow_rate,8,8,million_barrels_per_day,seven_day_average,7,Said an average of about 8 million barrels of oil per day had left Hormuz over the prior seven days.,active,,,"Later reading of the same seven-day series as USOF-20260811-01; different windows, not a correction.",CBS News live updates,2026-08-21,"U.S. assisted in getting more than 15 million barrels of oil through Strait of Hormuz in one day, energy chief says",https://www.cbsnews.com/live-updates/iran-war-trump-economic-crackdown/
USOF-20260821-03,2026-08-21,Chris Wright,U.S. Energy Secretary,Department of Energy,named,social media post,flow_volume,region_including_bypass,outbound,oil,oil_volume,20,20,million_barrels,single_day,1,Said total oil leaving the region on Tuesday was about 20 million barrels when pipeline exports were included.,active,,,Regional total including bypass pipelines.,CBS News live updates,2026-08-21,"U.S. assisted in getting more than 15 million barrels of oil through Strait of Hormuz in one day, energy chief says",https://www.cbsnews.com/live-updates/iran-war-trump-economic-crackdown/
